1,globalid,nhfr_uid,nhfr_facility_code,country,iso,state,lga,lga_name_disagreement,ward,ward_name_disagreement,facility_name,facility_name_source,ownership,ownership_type,facility_level,facility_level_option,latitude,longitude,geocoordinates_source,last_updated,x,y
42974,13a7cf3b-f544-4ccd-8eff-0adaac82a6bb,,,Nigeria,NGA,Cross River,Calabar South,0,Calabar South Ward 3,0,Progress Clinic,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,4.9584466,8.3428209,GRID3_EHEALTH,11/11/2024,8.3428209,4.9584466
42975,5287b83b-fca6-41a9-985f-4a9069c787a5,,,Nigeria,NGA,Benue,Ohimini,0,Onyagede Ehaje,0,Joseph Otoli Ipole Clinic,GRID3_EHEALTH,Unknown,Unknown,Primary,Unknown,7.286,7.81245,GRID3_EHEALTH,11/11/2024,7.81245,7.286
42976,039be5d5-f45c-46f7-9326-26d52a4622e8,,,Nigeria,NGA,Benue,Ohimini,0,Onyagede Icho,0,Ebenezer Clinic,GRID3_EHEALTH,Unknown,Unknown,Primary,Unknown,7.27555,7.8263,GRID3_EHEALTH,11/11/2024,7.8263,7.27555
42977,dc6ef09e-527d-4c31-85c3-0ec586cf131c,,,Nigeria,NGA,Benue,Ohimini,0,Onyagede Icho,0,Mevico Hospital,GRID3_EHEALTH,Unknown,Unknown,Primary,Unknown,7.25774,7.877,GRID3_EHEALTH,11/11/2024,7.877,7.25774
42978,ca82fd5f-07ca-47fb-bd7b-03fc2fab2809,,,Nigeria,NGA,Benue,Ohimini,0,Ochobo,0,Restoration Agboke Clinic,GRID3_EHEALTH,Unknown,Unknown,Primary,Unknown,7.17735,8.04164,GRID3_EHEALTH,11/11/2024,8.04164,7.17735
42979,8ed3c2a1-9aee-4173-b3de-ac20af4437a8,,,Nigeria,NGA,Benue,Okpokwu,0,Amejo,0,Local Government Ogbulechi Ogbulechi Effoyo Clinic,GRID3_EHEALTH,Unknown,Unknown,Primary,Unknown,7.14639,7.79545,GRID3_EHEALTH,11/11/2024,7.79545,7.14639
42980,04b58bcb-25c8-49fd-9de7-5a160f5b00e7,,,Nigeria,NGA,Benue,Apa,0,Auke,0,Omelonye Icho Primary Health Care,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Center,7.41995,7.82406,GRID3_EHEALTH,11/11/2024,7.82406,7.41995
43399,4c902135-c0d7-49f8-b533-7619ba0d186b,,,Nigeria,NGA,Jigawa,Auyo,0,Gamafai,0,Gabakoi Health Post,GRID3_EHEALTH,Unknown,Unknown,Unknown,Unknown,12.288156,9.915112,GRID3_EHEALTH,11/11/2024,9.915112,12.288156
42982,ed660251-be9a-4efb-8cfe-f3762a1083af,,,Nigeria,NGA,Osun,Irewole,0,Atoba / Ikire A,0,Oke Oko Health Post,GRID3_EHEALTH,Unknown,Unknown,Primary,Health Post,7.331298828,4.265319824,GRID3_EHEALTH,11/11/2024,4.265319824,7.331298828
42983,d52320a0-203a-4dfb-a8b3-e78f49a35fd6,,,Nigeria,NGA,Osun,Ila,0,Oke Ejigbo 1,0,Temidayo Maternity Home,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Clinic,8.010314942,4.898498535,GRID3_EHEALTH,11/11/2024,4.898498535,8.010314942
42984,13ad4a92-45e9-4078-a84f-973fc0532411,,,Nigeria,NGA,Osun,Odo Otin,0,Olukotun,0,Kolawole Maternity Home,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Clinic,7.973876953,4.65411377,GRID3_EHEALTH,11/11/2024,4.65411377,7.973876953
42985,d1ef13b8-5b72-4b53-b924-59587b4d2bed,,,Nigeria,NGA,Osun,Odo Otin,0,Ashi / Asaba,0,Asi Primary Health Center,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Center,8.063720703,4.793518067,GRID3_EHEALTH,11/11/2024,4.793518067,8.063720703
42986,6ef40a23-e80b-4e21-92fa-5958ee593db3,,,Nigeria,NGA,Osun,Boripe,0,Ororuwo 6,0,Majekobaje Maternity and Clinic Home,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Clinic,7.891723633,4.701477051,GRID3_EHEALTH,11/11/2024,4.701477051,7.891723633
42987,07396f8a-2e6f-43a0-9fbf-d69233577e88,,,Nigeria,NGA,Osun,Ifedayo,0,Co-Op,0,Cac Maternity Home,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Clinic,8.031677246,5.05090332,GRID3_EHEALTH,11/11/2024,5.05090332,8.031677246
42988,ee2bfb9d-66d4-4057-8627-b0a6b28e7fa9,,,Nigeria,NGA,Osun,Ayedaade,0,Ijugbe,0,Victory Medical Center,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Clinic,7.532714844,4.389526367,GRID3_EHEALTH,11/11/2024,4.389526367,7.532714844
42989,c6f95cb5-9545-413e-86a1-255fba53ee13,,,Nigeria,NGA,Osun,Ila,0,Isedo 2,0,Ifeolu Medical Center,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Clinic,8.021484375,4.917480469,GRID3_EHEALTH,11/11/2024,4.917480469,8.021484375
42990,6a736303-cc15-42f4-ba73-3ad7e1763208,,,Nigeria,NGA,Osun,Boripe,0,Oke Baale 8,0,Algon Primary Health Center,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Center,7.895690918,4.724487304,GRID3_EHEALTH,11/11/2024,4.724487304,7.895690918
42991,ab771d2d-abf5-407d-be12-53c61108b34c,,,Nigeria,NGA,Osun,Boripe,0,Isale Offa 2,0,Alaafia Tayo Clinic,GRID3_EHEALTH,Unknown,Unknown,Primary,Primary Health Center,7.899719238,4.686096191,GRID3_EHEALTH,11/11/2024,4.686096191,7.899719238
42992,04046d09-08d0-4a00-b339-ca6ce9f31517,,,Nigeria,NGA,Benue,Ushongo,0,Mbakuha,0,With Christ Clinic and Maternity,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,6.999328613,9.012878418,GRID3_EHEALTH,11/11/2024,9.012878418,6.999328613
42993,5ebf2422-251d-4401-8c46-b106e45453ba,,,Nigeria,NGA,Benue,Buruku,0,Mbaazager,0,Baki Clinic and Maternity,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,7.070678711,9.018310547,GRID3_EHEALTH,11/11/2024,9.018310547,7.070678711
42994,17009676-5f81-415a-9050-4725650882b8,,,Nigeria,NGA,Benue,Makurdi,0,Clerk Mission,0,St Theresas Hospital,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,7.722290039,8.532897949,GRID3_EHEALTH,11/11/2024,8.532897949,7.722290039
42995,f306d380-da62-4342-9880-0244a3102e41,,,Nigeria,NGA,Benue,Ushongo,0,Mbagba,0,St James Hegha Health Clinic,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,7.002685547,9.162475586,GRID3_EHEALTH,11/11/2024,9.162475586,7.002685547
42996,c93a3703-65e8-43ed-951a-419c500a7a31,,,Nigeria,NGA,Benue,Kwande,0,Menev,0,Redeem Clinic and Maternity,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,6.950073242,9.258911133,GRID3_EHEALTH,11/11/2024,9.258911133,6.950073242
42997,28b70ef2-16ea-4a8a-aa66-e66b6774362e,,,Nigeria,NGA,Benue,Kwande,0,Mbayoo,0,Tidoo Adikpo Health Clinic,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,6.885314941,9.234313965,GRID3_EHEALTH,11/11/2024,9.234313965,6.885314941
42998,84c74e3f-ccb8-4812-bdc7-99c067990cc2,,,Nigeria,NGA,Benue,Ushongo,0,Mbayegh-Kyer,0,Idoom Clinic and Maternity,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,7.155700684,8.860473633,GRID3_EHEALTH,11/11/2024,8.860473633,7.155700684
42999,9b32e50f-bfd0-4558-8cf6-e295acd97d3a,,,Nigeria,NGA,Benue,Ohimini,0,Ochobo,0,Obotu Primary Health Center,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.108703613,7.969482422,GRID3_EHEALTH,11/11/2024,7.969482422,7.108703613
43000,485fccfb-98a6-4267-a16a-ed59e1eb3b66,,,Nigeria,NGA,Benue,Ohimini,0,Ochobo,0,Aturukpo Akpa Primary Health Care,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.140930176,8.028076172,GRID3_EHEALTH,11/11/2024,8.028076172,7.140930176
43001,ef4eeb47-7412-4de6-9e81-e5e550295906,,,Nigeria,NGA,Benue,Ushongo,0,Mbaaka,0,Dooshima Clinic,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Center,7.070129394,8.910888671,GRID3_EHEALTH,11/11/2024,8.910888671,7.070129394
43002,4725c4b0-f738-4cae-bdfe-6dee16e0175e,,,Nigeria,NGA,Benue,Guma,0,Mbayer Yandev,0,Akpanaja Health Post,GRID3_EHEALTH,Unknown,Unknown,Primary,Health Post,7.859776303,8.39825051,GRID3_EHEALTH,11/11/2024,8.39825051,7.859776303
43003,e49fb696-1c4d-4de4-a336-dd53b70a952e,,,Nigeria,NGA,Benue,Ohimini,0,Onyagede Ehaje,0,Onyagbede Ohimin Holy Family Clinic,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,7.35109,7.81196,GRID3_EHEALTH,11/11/2024,7.81196,7.35109
43004,6599d351-3161-43c1-ad39-c7ef591e7056,,,Nigeria,NGA,Benue,Ushongo,0,Ikov,0,Gods Grace Msa Maternity Clinic,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Clinic,7.227626743,9.006459378,GRID3_EHEALTH,11/11/2024,9.006459378,7.227626743
43005,12595078-b867-44dd-a73e-31cf7caee9df,,,Nigeria,NGA,Benue,Ushongo,0,Mbaaka,0,Mbakuha Nkst Clinic,GRID3_EHEALTH,Private,Unknown,Primary,Unknown,7.066632934,8.916453315,GRID3_EHEALTH,11/11/2024,8.916453315,7.066632934
43006,6235cfc3-ec3b-4a73-bf82-927cb94d2230,,,Nigeria,NGA,Benue,Kwande,0,Usar,0,Doose Health Clinic and Maternity,GRID3_EHEALTH,Public,Unknown,Primary,Primary Health Clinic,6.93951416,9.168273926,GRID3_EHEALTH,11/11/2024,9.168273926,6.93951416
43007,8458a2d4-8083-45df-8108-50894f3002b4,,,Nigeria,NGA,Osun,Boripe,0,Isale Offa 2,0,Popoola Hospital,GRID3_EHEALTH,Private,Unknown,Primary,Primary Health Center,7.887506362,4.673837745,GRID3_EHEALTH,11/11/2024,4.673837745,7.887506362
